2023-04-04 00:52:57,177 - INFO - 127.0.0.1 | GET | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer {{access_token}}', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '43d97b52-a184-437b-b22a-5d9de0155968', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive'} | b'' | 422 UNPROCESSABLE ENTITY
2023-04-04 00:59:15,959 - INFO - 127.0.0.1 | GET | /api/users | {} | {'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': 'b40be659-bead-4cc4-9d81-7fc29da5e791', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive'} | b'' | 200 OK
2023-04-04 01:03:15,586 - INFO - 127.0.0.1 | GET | /api/users | {} | {'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '869716f9-90c4-4358-8a3c-4ee0f1900743', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive'} | b'' | 200 OK
2023-04-04 01:03:30,453 - INFO - 127.0.0.1 | DELETE | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '4aa02efa-7179-44df-9eaa-ab4382462534', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '14'} | b'eyJ1c2VyX2lkIjogMX0=' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:03:54,330 - INFO - 127.0.0.1 | DELETE | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '98f71395-870f-4c6a-b14a-fd47898866db', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '14'} | b'eyJ1c2VyX2lkIjogMX0=' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:18:11,761 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '757f245e-eae7-4d69-9bc5-a69e1ab99229', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '99'} | b'eyJwcmVub20iOiAiSm9obiIsICJub20iOiAiRG9lIiwgImxvZ2luIjogImpvaG5kb2UiLCAicGFzc3dvcmQiOiAicGFzc3dvcmQxMjMiLCAiZ3JvdXBlIjogImdyb3VwMSJ9' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:18:32,622 - INFO - 127.0.0.1 | GET | /api/users | {} | {'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '286ce2ba-927f-44b7-9b01-188c6118659a', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive'} | b'' | 200 OK
2023-04-04 01:36:34,650 - INFO - 127.0.0.1 | POST | /api/login | {} | {'Content-Type': 'application/json', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': 'c828c030-0c9f-4b57-a290-4ceb7806baa2', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '45'} | b'eyJ1c2VybmFtZSI6ICJhZG1pbiIsICJwYXNzd29yZCI6ICJQQHNzd29yZCJ9' | 403 FORBIDDEN
2023-04-04 01:39:09,909 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': 'a4beaa3c-5845-4dc4-806c-22a915b61d07', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '96'} | b'eyJwcmVub20iOiAiYWRtaW4iLCAibm9tIjogImFkbWluIiwgImxvZ2luIjogImFkbWluIiwgInBhc3N3b3JkIjogIlBAc3N3b3JkIiwgImdyb3VwZSI6ICJhZG1pbiJ9' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:39:34,718 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': 'c9d44532-2d37-4e5d-9fa5-c611c4bf4dfb', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '96'} | b'eyJwcmVub20iOiAiYWRtaW4iLCAibm9tIjogImFkbWluIiwgImxvZ2luIjogImFkbWluIiwgInBhc3N3b3JkIjogIlBAc3N3b3JkIiwgImdyb3VwZSI6ICJhZG1pbiJ9' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:39:40,093 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '70a6fc62-b8b1-4e4d-ad21-c54f73ff7ab5', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '96'} | b'eyJwcmVub20iOiAiYWRtaW4iLCAibm9tIjogImFkbWluIiwgImxvZ2luIjogImFkbWluIiwgInBhc3N3b3JkIjogIlBAc3N3b3JkIiwgImdyb3VwZSI6ICJhZG1pbiJ9' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:42:22,259 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': 'e3495c12-5714-49b2-8447-6b3f528f1df2', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '96'} | b'eyJwcmVub20iOiAiYWRtaW4iLCAibm9tIjogImFkbWluIiwgImxvZ2luIjogImFkbWluIiwgInBhc3N3b3JkIjogIlBAc3N3b3JkIiwgImdyb3VwZSI6ICJhZG1pbiJ9' | 422 UNPROCESSABLE ENTITY
2023-04-04 01:42:38,148 - INFO - 127.0.0.1 | POST | /api/user | {} | {'Content-Type': 'application/json', 'Authorization': 'Bearer xxx', 'User-Agent': 'PostmanRuntime/7.31.3', 'Accept': '*/*', 'Cache-Control': 'no-cache', 'Postman-Token': '22c1784c-6257-484b-af02-ef554c798234', 'Host': '127.0.0.1:8000', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Content-Length': '96'} | b'eyJwcmVub20iOiAiYWRtaW4iLCAibm9tIjogImFkbWluIiwgImxvZ2luIjogImFkbWluIiwgInBhc3N3b3JkIjogIlBAc3N3b3JkIiwgImdyb3VwZSI6ICJhZG1pbiJ9' | 201 CREATED
